#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            2     IPN
#  2000.000000     SED
#     0.030000     X
#     0.020000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.040000     ALRBIN
#     0.005000     TPBIN
#           20     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.414198     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
 -0.0025 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 -0.0075 0.1667E-02 0.4078E-01 0.3249E+04 0.1018E+06 0.3757E+00
 -0.0125 0.4167E-02 0.6446E-01 0.1099E+04 0.3441E+05 0.3531E+00
 -0.0175 0.6667E-02 0.8152E-01 0.5282E+03 0.1651E+05 0.3326E+00
 -0.0225 0.9167E-02 0.9556E-01 0.3015E+03 0.9413E+04 0.3138E+00
 -0.0275 0.1167E-01 0.1078E+00 0.1908E+03 0.5949E+04 0.2967E+00
 -0.0325 0.1417E-01 0.1187E+00 0.1294E+03 0.4029E+04 0.2810E+00
 -0.0375 0.1667E-01 0.1287E+00 0.9221E+02 0.2867E+04 0.2666E+00
 -0.0425 0.1917E-01 0.1380E+00 0.6821E+02 0.2118E+04 0.2533E+00
 -0.0475 0.2167E-01 0.1467E+00 0.5196E+02 0.1611E+04 0.2411E+00
 -0.0525 0.2417E-01 0.1548E+00 0.4053E+02 0.1255E+04 0.2297E+00
 -0.0575 0.2667E-01 0.1626E+00 0.3224E+02 0.9968E+03 0.2192E+00
 -0.0625 0.2917E-01 0.1700E+00 0.2607E+02 0.8049E+03 0.2094E+00
 -0.0675 0.3167E-01 0.1771E+00 0.2138E+02 0.6592E+03 0.2003E+00
 -0.0725 0.3417E-01 0.1838E+00 0.1775E+02 0.5464E+03 0.1918E+00
 -0.0775 0.3667E-01 0.1904E+00 0.1489E+02 0.4578E+03 0.1839E+00
 -0.0825 0.3917E-01 0.1967E+00 0.1261E+02 0.3871E+03 0.1764E+00
 -0.0875 0.4167E-01 0.2028E+00 0.1077E+02 0.3302E+03 0.1695E+00
 -0.0925 0.4417E-01 0.2087E+00 0.9264E+01 0.2837E+03 0.1630E+00
 -0.0975 0.4667E-01 0.2145E+00 0.8024E+01 0.2454E+03 0.1568E+00
